size,number_of_threads,duration
100,1,22
100,3,9
100,5,8
100,10,8
100,25,8
100,50,9
100,100,9
250,1,61
250,3,69
250,5,71
250,10,59
250,25,53
250,50,55
250,100,57
500,1,684
500,3,267
500,5,277
500,10,262
500,25,242
500,50,246
500,100,229
750,1,2281
750,3,1196
750,5,1079
750,10,839
750,25,786
750,50,776
750,100,774
1000,1,5466
1000,3,2029
1000,5,1551
1000,10,1820
1000,25,1815
1000,50,1813
1000,100,1822
1500,1,28304
1500,3,10737
1500,5,7482
1500,10,8688
1500,25,7231
1500,50,6641
1500,100,6432
2000,1,75575
2000,3,29727
2000,5,21765
2000,10,18902
2000,25,17502
2000,50,16347
2000,100,15425
